127.0.0.1, 2017-02-05 01:50:16, GET, /admin/static/_2.14.6/codemirror/mode/javascript/javascript.js, HTTP/1.1, 200, 0.058000
127.0.0.1, 2017-02-05 01:50:16, GET, /admin/static/_2.14.6/codemirror/mode/xml/xml.js, HTTP/1.1, 200, 0.104000
127.0.0.1, 2017-02-05 01:50:16, GET, /admin/static/_2.14.6/codemirror/mode/htmlmixed/htmlmixed.js, HTTP/1.1, 200, 0.062000
127.0.0.1, 2017-02-05 01:50:17, GET, /admin/static/_2.14.6/codemirror/lib/codemirror.js, HTTP/1.1, 200, 0.295000
127.0.0.1, 2017-02-05 01:50:17, GET, /admin/static/_2.14.6/codemirror/mode/css/css.js, HTTP/1.1, 200, 0.129000
127.0.0.1, 2017-02-05 01:50:17, GET, /admin/static/_2.14.6/codemirror/addon/hint/python-hint.js, HTTP/1.1, 200, 0.037000
127.0.0.1, 2017-02-05 01:50:17, GET, /admin/static/_2.14.6/codemirror/addon/hint/show-hint.js, HTTP/1.1, 200, 0.043000
127.0.0.1, 2017-02-05 01:50:17, GET, /admin/static/_2.14.6/codemirror/addon/edit/trailingspace.js, HTTP/1.1, 200, 0.061000
127.0.0.1, 2017-02-05 01:50:17, GET, /admin/static/_2.14.6/codemirror/addon/display/fullscreen.js, HTTP/1.1, 200, 0.077000
127.0.0.1, 2017-02-05 01:50:17, GET, /admin/static/_2.14.6/codemirror/addon/search/search.js, HTTP/1.1, 200, 0.105000
127.0.0.1, 2017-02-05 01:50:17, GET, /admin/static/_2.14.6/codemirror/addon/search/searchcursor.js, HTTP/1.1, 200, 0.100000
127.0.0.1, 2017-02-05 01:50:17, GET, /admin/static/_2.14.6/codemirror/addon/dialog/dialog.js, HTTP/1.1, 200, 0.116000
127.0.0.1, 2017-02-05 01:50:17, GET, /admin/static/_2.14.6/codemirror/addon/selection/active-line.js, HTTP/1.1, 200, 0.121000
127.0.0.1, 2017-02-05 01:50:17, GET, /admin/static/_2.14.6/codemirror/addon/fold/xml-fold.js, HTTP/1.1, 200, 0.062000
127.0.0.1, 2017-02-05 01:50:17, GET, /admin/static/_2.14.6/codemirror/addon/fold/indent-fold.js, HTTP/1.1, 200, 0.039000
127.0.0.1, 2017-02-05 01:50:17, GET, /admin/static/_2.14.6/codemirror/addon/fold/foldgutter.js, HTTP/1.1, 200, 0.070000
127.0.0.1, 2017-02-05 01:50:17, GET, /admin/static/_2.14.6/codemirror/addon/fold/foldcode.js, HTTP/1.1, 200, 0.075000
127.0.0.1, 2017-02-05 01:50:17, GET, /admin/static/_2.14.6/codemirror/addon/fold/comment-fold.js, HTTP/1.1, 200, 0.061000
127.0.0.1, 2017-02-05 01:50:17, GET, /admin/static/_2.14.6/codemirror/addon/fold/brace-fold.js, HTTP/1.1, 200, 0.087000
127.0.0.1, 2017-02-05 01:50:17, GET, /admin/static/_2.14.6/codemirror/addon/comment/comment.js, HTTP/1.1, 200, 0.070000
127.0.0.1, 2017-02-05 01:50:17, GET, /admin/static/_2.14.6/js/ajax_editor.js, HTTP/1.1, 200, 0.109000
127.0.0.1, 2017-02-05 01:50:17, GET, /admin/static/_2.14.6/js/hogan-2.0.0.js, HTTP/1.1, 200, 0.151000
127.0.0.1, 2017-02-05 01:50:17, GET, /admin/static/_2.14.6/js/typeahead.min.js, HTTP/1.1, 200, 0.233000
127.0.0.1, 2017-02-05 01:50:17, GET, /admin/static/_2.14.6/codemirror/emmet.min.js, HTTP/1.1, 200, 0.256000
127.0.0.1, 2017-02-05 01:50:17, GET, /admin/static/_2.14.6/images/files_toggle.png, HTTP/1.1, 200, 0.020000
127.0.0.1, 2017-02-05 01:50:17, GET, /admin/static/_2.14.6/images/glyphicons-halflings.png, HTTP/1.1, 200, 0.030000
127.0.0.1, 2017-02-05 01:50:17, GET, /favicon.ico, HTTP/1.1, 400, 0.005000
127.0.0.1, 2017-02-05 01:50:18, GET, /admin/default/edit/HelloWorldWeb2Py/controllers/default.py, HTTP/1.1, 200, 0.375000
127.0.0.1, 2017-02-05 01:50:18, GET, /admin/default/files_menu, HTTP/1.1, 200, 0.423000
127.0.0.1, 2017-02-05 01:50:18, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.538000
127.0.0.1, 2017-02-05 01:50:18, GET, /admin/static/_2.14.6/images/save_icon.png, HTTP/1.1, 200, 0.018000
127.0.0.1, 2017-02-05 01:50:18, GET, /admin/default/editor_sessions, HTTP/1.1, 200, 0.704000
127.0.0.1, 2017-02-05 01:50:19, POST, /admin/debug/list_breakpoints, HTTP/1.1, 200, 0.707000
127.0.0.1, 2017-02-05 01:50:19, GET, /HelloWorldWeb2Py/appadmin/hooks, HTTP/1.1, 200, 1.235000
127.0.0.1, 2017-02-05 01:50:24, GET, /admin/default/peek/HelloWorldWeb2Py/controllers/default.py, HTTP/1.1, 200, 0.140000
127.0.0.1, 2017-02-05 01:50:24, GET, /favicon.ico, HTTP/1.1, 400, 0.001000
127.0.0.1, 2017-02-05 01:50:26, GET, /admin/default/edit/HelloWorldWeb2Py/controllers/default.py, HTTP/1.1, 200, 0.086000
127.0.0.1, 2017-02-05 01:50:27, GET, /favicon.ico, HTTP/1.1, 400, 0.003000
127.0.0.1, 2017-02-05 01:50:27, GET, /admin/default/edit/HelloWorldWeb2Py/controllers/default.py, HTTP/1.1, 200, 0.183000
127.0.0.1, 2017-02-05 01:50:27, GET, /admin/default/editor_sessions, HTTP/1.1, 200, 0.253000
127.0.0.1, 2017-02-05 01:50:27, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.401000
127.0.0.1, 2017-02-05 01:50:27, GET, /admin/default/files_menu, HTTP/1.1, 200, 0.537000
127.0.0.1, 2017-02-05 01:50:27, POST, /admin/debug/list_breakpoints, HTTP/1.1, 200, 0.370000
127.0.0.1, 2017-02-05 01:50:30, GET, /HelloWorldWeb2Py/appadmin/hooks, HTTP/1.1, 200, 3.292000
127.0.0.1, 2017-02-05 01:50:45, GET, /admin/default/peek/HelloWorldWeb2Py/controllers/default.py, HTTP/1.1, 200, 0.087000
127.0.0.1, 2017-02-05 01:50:45, GET, /favicon.ico, HTTP/1.1, 400, 0.001000
127.0.0.1, 2017-02-05 01:50:46, GET, /admin/default/design/HelloWorldWeb2Py, HTTP/1.1, 200, 0.233000
127.0.0.1, 2017-02-05 01:50:47, GET, /favicon.ico, HTTP/1.1, 400, 0.001000
127.0.0.1, 2017-02-05 01:50:48, GET, /admin/default/peek/HelloWorldWeb2Py/controllers/appadmin.py, HTTP/1.1, 200, 0.205000
127.0.0.1, 2017-02-05 01:50:48, GET, /favicon.ico, HTTP/1.1, 400, 0.001000
127.0.0.1, 2017-02-05 01:50:54, GET, /admin/default/design/HelloWorldWeb2Py, HTTP/1.1, 200, 0.320000
127.0.0.1, 2017-02-05 01:50:54, GET, /favicon.ico, HTTP/1.1, 400, 0.001000
127.0.0.1, 2017-02-05 01:51:00, GET, /admin/default/peek/HelloWorldWeb2Py/languages/default.py, HTTP/1.1, 200, 0.151000
127.0.0.1, 2017-02-05 01:51:00, GET, /favicon.ico, HTTP/1.1, 400, 0.001000
127.0.0.1, 2017-02-05 11:11:35, GET, /, HTTP/1.1, 303, 0.005000
127.0.0.1, 2017-02-05 11:11:39, GET, /welcome/default/index, HTTP/1.1, 200, 3.767000
127.0.0.1, 2017-02-05 11:11:40, GET, /welcome/static/images/background.jpg, HTTP/1.1, 200, 0.057000
127.0.0.1, 2017-02-05 11:11:40, GET, /welcome/static/fonts/glyphicons-halflings-regular.woff2, HTTP/1.1, 200, 0.031000
127.0.0.1, 2017-02-05 11:11:41, GET, /welcome/static/images/gplus-32.png, HTTP/1.1, 200, 0.012000
127.0.0.1, 2017-02-05 11:11:41, GET, /welcome/static/images/twitter.png, HTTP/1.1, 200, 0.017000
127.0.0.1, 2017-02-05 11:11:41, GET, /welcome/static/images/facebook.png, HTTP/1.1, 200, 0.022000
127.0.0.1, 2017-02-05 11:11:56, GET, /admin/default/site, HTTP/1.1, 303, 2.137000
127.0.0.1, 2017-02-05 11:11:57, GET, /admin/default/index, HTTP/1.1, 200, 0.659000
127.0.0.1, 2017-02-05 11:11:57, GET, /admin/static/_2.14.6/plugin_multiselect/start.js, HTTP/1.1, 200, 0.015000
127.0.0.1, 2017-02-05 11:11:57, GET, /admin/static/_2.14.6/images/questions.png, HTTP/1.1, 200, 0.044000
127.0.0.1, 2017-02-05 11:11:58, GET, /favicon.ico, HTTP/1.1, 400, 0.001000
127.0.0.1, 2017-02-05 11:12:00, POST, /admin/default/index, HTTP/1.1, 303, 0.202000
127.0.0.1, 2017-02-05 11:12:00, GET, /admin/default/site, HTTP/1.1, 200, 0.372000
127.0.0.1, 2017-02-05 11:12:01, POST, /admin/default/check_version, HTTP/1.1, 200, 0.571000
127.0.0.1, 2017-02-05 11:12:02, GET, /favicon.ico, HTTP/1.1, 400, 0.001000
127.0.0.1, 2017-02-05 11:13:38, GET, /admin/default/site, HTTP/1.1, 200, 0.145000
127.0.0.1, 2017-02-05 11:13:39, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2017-02-05 11:13:51, POST, /admin/default/site, HTTP/1.1, 303, 2.325000
127.0.0.1, 2017-02-05 11:13:52, GET, /admin/default/design/AppCuaTao, HTTP/1.1, 200, 0.533000
127.0.0.1, 2017-02-05 11:13:52, GET, /favicon.ico, HTTP/1.1, 400, 0.001000
127.0.0.1, 2017-02-05 11:16:19, GET, /admin/default/peek/AppCuaTao/controllers/default.py, HTTP/1.1, 200, 0.142000
127.0.0.1, 2017-02-05 11:16:19, GET, /favicon.ico, HTTP/1.1, 400, 0.001000
127.0.0.1, 2017-02-05 11:16:54, GET, /admin/default/edit/AppCuaTao/controllers/default.py, HTTP/1.1, 200, 0.289000
127.0.0.1, 2017-02-05 11:16:54, GET, /admin/static/_2.14.6/codemirror/addon/edit/trailingspace.js, HTTP/1.1, 200, 0.097000
127.0.0.1, 2017-02-05 11:16:54, GET, /admin/static/_2.14.6/images/glyphicons-halflings.png, HTTP/1.1, 200, 0.073000
127.0.0.1, 2017-02-05 11:16:54, GET, /admin/static/_2.14.6/images/files_toggle.png, HTTP/1.1, 200, 0.093000
127.0.0.1, 2017-02-05 11:16:55, GET, /favicon.ico, HTTP/1.1, 400, 0.002000
127.0.0.1, 2017-02-05 11:16:55, GET, /admin/default/edit/AppCuaTao/controllers/default.py, HTTP/1.1, 200, 0.345000
127.0.0.1, 2017-02-05 11:16:55, GET, /admin/default/editor_sessions, HTTP/1.1, 200, 0.445000
127.0.0.1, 2017-02-05 11:16:55, GET, /admin/default/files_menu, HTTP/1.1, 200, 0.613000
127.0.0.1, 2017-02-05 11:16:55, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.779000
